,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,num-replicates,best-fitness-so-far
0,1,1370,27,0.61,0.5700000000000001,8.5,0.3,0.08,0.26,10,0.4008636208283713
1,2,1460,22,0.58,0.54,6.4,0.96,0.52,0.59,10,0.4039177540419725
2,3,1410,23,0.67,0.64,7.300000000000001,1.0,0.38,0.01,10,0.4050700323030273
3,4,1370,5,0.8,0.63,8.9,0.47,0.86,0.85,10,0.403652348710776
4,5,1410,9,0.81,0.63,8.4,0.31,0.07,0.96,10,0.3979186490508287
5,6,1440,23,0.67,0.61,6.0,0.23,0.86,0.5,10,0.4056102232871442
6,7,1460,13,0.56,0.58,8.2,0.76,0.52,0.09,10,0.407793660280868
7,8,1420,22,0.3,0.6,9.7,0.75,0.7000000000000001,0.9,10,0.4021686321695371
8,9,1390,27,0.01,0.55,7.7,0.97,0.28,0.08,10,0.3927683825332027
9,10,1350,27,0.64,0.5700000000000001,6.3,0.22,0.38,0.53,10,0.4033789387920898
